id,video_id,time,author,text,lable
UgiEjPi2gDVaHHgCoAEC.7-H0Z7-GtkX7-H3lWMZUrS,uhwtsjFbQK4,4 years ago,Антоныч и Алексей Подоляк,"понапридумывают же
вот всё чтобы народ запутать ",
Ugj3v8YHUPhwoHgCoAEC,8SqTaE4-5a4,1 year ago,Ninja,сука кто те пидари которые поставили дизлаик,
UghRT8VqzFb3zXgCoAEC.7-H0Z7-GINH7-HNVPo8iMo,T6IbEIBhb8o,4 years ago,Artur Star,алексей серов кинь ссылку,
UgixDCvRO7svJHgCoAEC,8SqTaE4-5a4,4 years ago,Suso Channel,ярмак ты космос классс,
UgjzaDQl2TduengCoAEC,8SqTaE4-5a4,1 year ago,zelder_play like,я согласен я из украины у меня есть родственники в казахстане я люблю россию больше чем украину и не все люди обижают россию кто новости нас натравливают в месте с правительством,
UgwlXf58mASvsBA7goR4AaABAg.8WgiaC-onDN8gLmnuZK9c1,8SqTaE4-5a4,4 weeks ago,Oleksandr PLAY,да да а те що щас то не дуже,
UgjD0icP-E3owXgCoAEC,zCmV4dX5tgs,2 years ago,Илья Блаженов,нефть упала э майдана у нас нет,
UggjS4eoSP3H43gCoAEC.7-H0Z7-S_Cn7-H3mbnw_hD,rl6PzLyKt_s,4 years ago,Roman,ну і як так можна думати побачивше че відео ви вважаєте що це нормально що влада так ставиться до свого народу,
UgjhLIjKIfVTY3gCoAEC.7-H0Z7-EL3471FJ8cefQAM,eufNblKL65s,3 years ago,Ввся Васина,и снова ачепятка мосхаэто вы новые пидолизыа мы стабильненько вас презираем сатадокопытные бессознательные,
Uggz14atAyUM53gCoAEC,jRX9Hq08sGc,4 years ago,Коляна Мамба,"а кто то из тех кто комментировал в сторону россии знает что там пиздец
закрываются пенсионные фонды не выдают зарплатунет роботы войти в таможенныйсоюз означает полный тормоз украины в развитии вход в евросоюз даёт перспективы к развитию страныда у нас не всё будит в шоколаде но там есть перспектива чего нет в россии а и кто не знал буквально месяца назад белоруссия хотела покинуть таможенныйсоюз",
UggiKUASZXxLBHgCoAEC,o9hyneGbGoM,1 year ago,Рафаэль Высильев,гордая и никем непокоренная нация,
UghwDbhC0w2ZungCoAEC.7-H0Z7-03qX7-HEkmKyMlg,T6IbEIBhb8o,4 years ago,Stanley Tail,в наших военкоматах максимум что тебе дадут так это саперскую лопатку при большой удаче мне так вообще повезло мне там мышку выдали клаву и кучу бумаги про меня хоть песни слагать,
UgizLUtoCpm2kHgCoAEC.7-H0Z7-G-AL7-HK_CDocd2,T6IbEIBhb8o,4 years ago,вася пупкин,я тоже хочу что бы крым вновь стал российской землей а эти евромайданутые придурки валят на свою западенщину ,
Ugi0ZhKtKifHzHgCoAEC.7-H0Z7-EljA7-WXWa-gegt,zCmV4dX5tgs,4 years ago,Максим Максим-Максимов,мария вам респект от националистов молодцы это у вас нет уважения а украинке не когда не стать россией,
Uggo0E6umyRa9HgCoAEC,T6IbEIBhb8o,4 years ago,искандер хакимуллин,да в украине тоже самое что и в россии только хуже чуть,
